meta: S = 7 T = 26 TN = 32 FN = 62
Se instala cañeria del tipo 1 entre nodo transitorio 24 y nodo final 49 con flujo 45.29376
Se instala cañeria del tipo 1 entre nodo transitorio 25 y nodo final 13 con flujo 97.85527
Se instala cañeria del tipo 1 entre nodo transitorio 26 y nodo final 22 con flujo 79.4636
Se instala cañeria del tipo 1 entre nodo transitorio 26 y nodo final 27 con flujo 96.09988
Se instala cañeria del tipo 1 entre nodo transitorio 26 y nodo final 29 con flujo 90.50164999999987
Se instala cañeria del tipo 1 entre nodo transitorio 26 y nodo final 33 con flujo 87.97924999999999
Se instala cañeria del tipo 1 entre nodo transitorio 28 y nodo final 12 con flujo 75.20054
Se instala cañeria del tipo 1 entre nodo transitorio 28 y nodo final 14 con flujo 88.89363
Se instala cañeria del tipo 1 entre nodo transitorio 29 y nodo final 18 con flujo 69.74651
Se instala cañeria del tipo 1 entre nodo transitorio 29 y nodo final 57 con flujo 42.15845
Se instala cañeria del tipo 1 entre nodo transitorio 30 y nodo final 10 con flujo 94.81480999999999
Se instala cañeria del tipo 1 entre nodo transitorio 30 y nodo final 11 con flujo 98.15806000000046
Se instala cañeria del tipo 1 entre nodo transitorio 30 y nodo final 21 con flujo 66.09049
Se instala cañeria del tipo 1 entre nodo transitorio 30 y nodo final 37 con flujo 59.31861
Se instala cañeria del tipo 1 entre nodo transitorio 32 y nodo final 39 con flujo 54.20098
