meta: S = 2 T = 5 TN = 10 FN = 16
Se instala cañeria del tipo 1 entre fuente 1 y tanque 2 con flujo 416.1804599999999
Se instala cañeria del tipo 1 entre fuente 1 y tanque 4 con flujo 222.16038
Se instala cañeria del tipo 2 entre fuente 2 y tanque 3 con flujo 1055.95691
Se instala cañeria del tipo 1 entre tanque 2 y nodo transitorio 1 con flujo 101.86655
Se instala cañeria del tipo 1 entre tanque 2 y nodo transitorio 3 con flujo 53.48506999999995
Se instala cañeria del tipo 1 entre tanque 2 y nodo transitorio 5 con flujo 139.87763
Se instala cañeria del tipo 1 entre tanque 2 y nodo transitorio 9 con flujo 120.95121
Se instala cañeria del tipo 1 entre tanque 3 y nodo transitorio 4 con flujo 148.96237
Se instala cañeria del tipo 1 entre tanque 3 y nodo transitorio 6 con flujo 363.53542
Se instala cañeria del tipo 1 entre tanque 3 y nodo transitorio 7 con flujo 491.59848
Se instala cañeria del tipo 1 entre tanque 3 y nodo transitorio 10 con flujo 51.86064
Se instala cañeria del tipo 1 entre tanque 4 y nodo transitorio 2 con flujo 144.17113
Se instala cañeria del tipo 1 entre tanque 4 y nodo transitorio 8 con flujo 77.98925
Se instala cañeria del tipo 1 entre nodo transitorio 1 y nodo final 11 con flujo 48.98466
Se instala cañeria del tipo 1 entre nodo transitorio 2 y nodo final 13 con flujo 97.59498000000001
Se instala cañeria del tipo 1 entre nodo transitorio 4 y nodo final 3 con flujo 72.72167
Se instala cañeria del tipo 1 entre nodo transitorio 5 y nodo final 1 con flujo 42.71677
Se instala cañeria del tipo 1 entre nodo transitorio 6 y nodo final 5 con flujo 43.29331
Se instala cañeria del tipo 1 entre nodo transitorio 6 y nodo final 6 con flujo 60.58662
Se instala cañeria del tipo 1 entre nodo transitorio 6 y nodo final 7 con flujo 47.80909
Se instala cañeria del tipo 1 entre nodo transitorio 6 y nodo final 14 con flujo 66.23411
Se instala cañeria del tipo 1 entre nodo transitorio 6 y nodo final 15 con flujo 49.57955
Se instala cañeria del tipo 1 entre nodo transitorio 7 y nodo final 4 con flujo 99.11969000000001
Se instala cañeria del tipo 1 entre nodo transitorio 7 y nodo final 8 con flujo 40.50259
Se instala cañeria del tipo 1 entre nodo transitorio 7 y nodo final 9 con flujo 42.87713
Se instala cañeria del tipo 1 entre nodo transitorio 7 y nodo final 10 con flujo 48.975
Se instala cañeria del tipo 1 entre nodo transitorio 7 y nodo final 12 con flujo 91.75129
Se instala cañeria del tipo 1 entre nodo transitorio 7 y nodo final 16 con flujo 71.86218
Se instala cañeria del tipo 1 entre nodo transitorio 9 y nodo final 2 con flujo 48.99679
